nameList,gianName,flag
坂井隆憲君,市町村の合併の特例に関する法律の一部を改正する法律案,0
古賀正浩君,破綻金融機関等の融資先である中堅事業者に係る信用保険の特例に関する臨時措置法案,0
"伊藤英成君,日野市朗君,上田清司君,池田元久君,生方幸夫君,海江田万里君,北脇保之君,中川正春君,原口一博君",財政構造改革の推進に関する特別措置法の停止に関する法律案,0
"東中光雄君,松本善明君,穀田恵二君",永住外国人に対する地方公共団体の議会の議員及び長の選挙権及び被選挙権の付与に関する法律案,0
"池田元久君,生方幸夫君,枝野幸男君,小沢鋭仁君,北脇保之君,近藤昭一君,島聡君,城島正光君,末松義規君,中川正春君,原口一博君,松沢成文君",国会における審議の活性化等を図るための国会法及び国家行政組織法等の一部を改正する法律案,0
"若松謙維君,佐々木秀典君,田中慶秋君,山本孝史君,大口善徳君,中野清君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"石井一君,伊藤忠治君,田中慶秋君,山元勉君,赤松広隆君,北村哲男君,肥田美代子君,上田清司君,松沢成文君,今田保典君",議員中島洋次郎君の議員辞職勧告に関する決議案,0
"中川秀直君,逢沢一郎君,遠藤武彦君,御法川英文君,河本三郎君,熊代昭彦君,赤松広隆君,松沢成文君,平田米男君,井上喜一君,東中光雄君,畠山健治郎君,笹木竜三君,園田博之君",すべての人々の人権が尊重される社会の実現に努める決議案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,松本善明君,山本孝史君,若松謙維君",国家公務員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",国会職員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"北村哲男君,福岡宗也君,堀込征雄君,倉田栄喜君,石井啓一君,達増拓也君",行政情報の公開に関する法律案,0
"藤村修君,山元勉君,肥田美代子君,島聡君",中高一貫教育の推進に関する法律案,0
"松本善明君,木島日出夫君",政治資金規正法の一部を改正する法律案,0
"松本善明君,木島日出夫君",政党助成法を廃止する法律案,0
"松本善明君,木島日出夫君",国の行政機関の職員等の営利企業等への就職の制限等に関する法律案,0
"松本善明君,木島日出夫君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"森山眞弓君,保岡興治君,辻元清美君,武村正義君",児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律案,0
"小杉隆君,木村義雄君,濱田健一君,園田博之君",民間資金等の活用による公共施設等の整備等の促進に関する法律案,0
"保岡興治君,熊代昭彦君,渡辺喜美君,横光克彦君,園田博之君,中井洽君,達増拓也君",借地借家法の一部を改正する法律案,0
"枝野幸男君,北村哲男君,池坊保子君,小沢辰男君,木島日出夫君,藤田スミ君,中川智子君,保坂展人君,武村正義君",民法の一部を改正する法律案,0
"中井洽君,西野陽君",国会議員等の入札干渉等の処罰等に関する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,武村正義君",公職選挙法の一部を改正する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,武村正義君",政治資金規正法の一部を改正する法律案,0
